student_id,name,gender,class,section,school,zone,district,state,phone,address,attendance,math_score,science_score,language_score,meal_participation,distance_km,sibling_dropout,family_income,parent_education,engagement_score,dropout_reason,dropout_risk,location_type
1,Arun,Male,8,A,GHSS Madurai East,South Zone,Madurai,Tamil Nadu,+91-61952-22280,"56, Madurai East Cross Street",70,50,62,83,yes,9.0,no,low,none,57,Economic hardship,1,Village
2,Saravanan,Male,7,C,GHSS Cuddalore,East Zone,Cuddalore,Tamil Nadu,+91-70463-65392,"88, Cuddalore Nagar",70,90,72,58,no,5.7,no,medium,primary,75,None reported,0,City
3,Harish,Male,8,A,GHSS Guindy,North Zone,Chennai,Tamil Nadu,+91-95142-26361,"237, Guindy Colony",65,51,61,33,yes,4.5,no,low,primary,42,Family relocation,1,Village
4,Saravanan,Male,8,C,GHSS Namakkal,West Zone,Namakkal,Tamil Nadu,+91-78965-20458,"219, Namakkal Cross Street",64,42,63,50,yes,2.7,yes,high,primary,47,None reported,0,City
5,Mohan,Male,8,B,GHSS Rasipuram,West Zone,Namakkal,Tamil Nadu,+91-64679-89840,"163, Rasipuram Cross Street",94,56,59,42,yes,4.6,no,medium,none,59,None reported,0,City
6,Arjun,Male,9,B,GHSS Tirunelveli Town,South Zone,Tirunelveli,Tamil Nadu,+91-63665-40021,"211, Tirunelveli Town Main Road",75,41,65,55,no,6.9,no,high,secondary,63,None reported,0,City
7,Durga,Female,8,A,GHSS Chengalpattu Town,North Zone,Chengalpattu,Tamil Nadu,+91-69363-44718,"36, Chengalpattu Town Cross Street",59,91,55,45,yes,8.8,yes,high,primary,76,Family relocation,1,City
8,Tamilselvi,Female,10,B,GHSS Gobichettipalayam,West Zone,Erode,Tamil Nadu,+91-67185-30033,"161, Gobichettipalayam Cross Street",44,56,18,37,yes,12.0,no,low,none,63,Economic hardship,1,Village
9,Abinaya,Female,6,B,GHSS Srirangam,Central Zone,Trichy,Tamil Nadu,+91-67507-99353,"227, Srirangam Avenue",89,68,60,63,no,3.4,no,medium,primary,49,None reported,0,Village
10,Devi,Female,8,A,GHSS Palayamkottai,South Zone,Tirunelveli,Tamil Nadu,+91-71708-76542,"234, Palayamkottai Main Road",57,48,72,67,yes,11.5,no,low,primary,39,Lack of interest,1,City
11,Archana,Female,10,C,GHSS Chromepet,North Zone,Chengalpattu,Tamil Nadu,+91-99252-52487,"126, Chromepet Main Road",72,50,43,71,yes,6.7,no,low,secondary,78,Economic hardship,1,City
12,Jagan,Male,8,A,GHSS Madhavaram,North Zone,Chennai,Tamil Nadu,+91-94911-26483,"33, Madhavaram Colony",85,45,52,69,no,1.4,no,low,primary,80,None reported,0,Village
13,Rajesh,Male,10,C,GHSS Kumbakonam,Central Zone,Thanjavur,Tamil Nadu,+91-86148-98039,"167, Kumbakonam Nagar",66,58,40,46,yes,9.2,no,high,graduate,78,None reported,0,City
14,Swetha,Female,9,A,GHSS Madurai West,South Zone,Madurai,Tamil Nadu,+91-63858-40007,"18, Madurai West Main Road",83,51,68,64,yes,7.3,yes,low,primary,51,Long travel distance,1,Village
15,Anitha,Female,10,A,GHSS Tirunelveli Town,South Zone,Tirunelveli,Tamil Nadu,+91-90976-41850,"201, Tirunelveli Town Colony",78,88,57,90,yes,2.0,no,medium,none,30,None reported,0,City
16,Janani,Female,6,A,GHSS Chidambaram,East Zone,Cuddalore,Tamil Nadu,+91-66449-17944,"104, Chidambaram Nagar",80,58,49,63,yes,5.9,no,low,primary,36,None reported,0,City
17,Prasad,Male,7,A,GHSS Salem Town,West Zone,Salem,Tamil Nadu,+91-89041-82132,"26, Salem Town Main Road",63,62,79,53,no,3.7,yes,low,primary,52,None reported,0,City
18,Vijay,Male,7,A,GHSS Thanjavur,Central Zone,Thanjavur,Tamil Nadu,+91-77380-69638,"74, Thanjavur Colony",56,70,57,51,yes,5.1,yes,medium,none,68,Early work pressure,1,City
19,Swathi,Female,7,B,GHSS Chengalpattu Town,North Zone,Chengalpattu,Tamil Nadu,+91-98284-72493,"129, Chengalpattu Town Avenue",75,79,47,60,yes,6.7,no,high,primary,62,None reported,0,Village
20,Suresh,Male,10,A,GHSS Tambaram,North Zone,Chengalpattu,Tamil Nadu,+91-76135-85880,"153, Tambaram Main Road",41,58,55,59,no,10.4,no,low,none,57,Peer influence,1,City
21,Surya,Male,10,C,GHSS Singanallur,West Zone,Coimbatore,Tamil Nadu,+91-79660-69929,"81, Singanallur Main Road",46,49,49,49,yes,8.2,no,low,primary,61,Household responsibilities,1,City
22,Bala,Male,10,C,GHSS Avadi,North Zone,Tiruvallur,Tamil Nadu,+91-76009-58434,"73, Avadi Cross Street",73,90,57,65,no,3.5,no,low,none,62,None reported,0,City
23,Maha,Female,8,C,GHSS Cuddalore,East Zone,Cuddalore,Tamil Nadu,+91-68800-44664,"30, Cuddalore Main Road",45,61,60,100,yes,6.9,no,medium,secondary,64,None reported,0,City
24,Sathish,Male,8,C,GHSS Chengalpattu Town,North Zone,Chengalpattu,Tamil Nadu,+91-63329-22097,"163, Chengalpattu Town Colony",73,57,35,80,yes,7.8,no,medium,none,75,None reported,0,Village
25,Divya,Female,6,B,GHSS Tiruvallur Town,North Zone,Tiruvallur,Tamil Nadu,+91-60633-24663,"20, Tiruvallur Town Cross Street",85,45,83,43,yes,9.0,no,medium,primary,75,None reported,0,Village
26,Logesh,Male,8,C,GHSS Attur,West Zone,Salem,Tamil Nadu,+91-62614-56898,"54, Attur Cross Street",99,38,44,62,yes,4.0,no,low,none,56,None reported,0,City
27,Hari,Male,10,B,GHSS Namakkal,West Zone,Namakkal,Tamil Nadu,+91-71603-64040,"7, Namakkal Cross Street",49,62,40,72,no,3.2,yes,medium,graduate,54,None reported,0,City
28,Eswari,Female,7,B,GHSS Sriperumbudur,North Zone,Kancheepuram,Tamil Nadu,+91-90166-55830,"79, Sriperumbudur Cross Street",92,43,50,75,yes,10.5,no,medium,none,47,None reported,0,Village
29,Arun,Male,7,B,GHSS Virudhunagar,South Zone,Virudhunagar,Tamil Nadu,+91-81702-13617,"30, Virudhunagar Nagar",66,76,24,61,yes,9.4,no,low,none,64,Lack of interest,1,City
30,Dhanush,Male,8,A,GHSS Avadi,North Zone,Tiruvallur,Tamil Nadu,+91-67578-60488,"231, Avadi Avenue",85,39,36,73,no,9.5,no,medium,primary,71,None reported,0,City
31,Rajesh,Male,6,C,GHSS Kumbakonam,Central Zone,Thanjavur,Tamil Nadu,+91-72912-57739,"111, Kumbakonam Main Road",71,63,43,65,yes,6.7,no,low,graduate,68,None reported,0,City
